"ESPCOD","CIENTIFICO","APHIAID","AL3","ESPSIRENO"
"40254","Ophiopholis aculeata","125125","","Ophiopholis aculeata"
"60000","Octocorallia","1341","","Gorgonacea"
"60085","Funiculina quadrangularis","128506","FQJ","Funiculina quadrangularis"
"60610","Hormathiidae","100672","KKW","Hormathiidae"
"60769","Pennatula phosphorea","128517","QAF","Pennatula phosphorea"
"60828","Scleractinia","1363","CSS","Scleractinia"
"60855","Antipatharia","22549","AQZ","Antipatharia"
"10003","Petromyzon marinus","101174","LAU","Petromyzon marinus"
"10004","Apristurus","105727","API","Apristurus spp"
"10014","Lamna nasus","105841","POR","Lamna nasus"
"10160","Alepocephalus bairdii","126682","ALC","Alepocephalus bairdii"
"10168","Mallotus villosus","126735","CAP","Mallotus villosus"
"10178","Argyropelecus","126196","","Argyropelecus spp"
"10253","Brosme brosme","126447","USK","Brosme brosme"
"10866","Lycodes reticulatus","127112","LCT","Lycodes reticulatus"
"10916","Cottunculus microps","127235","CVP","Cottunculus microps"
"10953","Lycodes vahlii","127118","","Lycodes vahlii"
"11224","Arctozenus risso","126352","","Notolepis risso"
"12492","Cyclothone microdon","127286","YTM","Cyclothone microdon"
"13376","Trigonolampa miriceps","127377","","Trigonolampa miriceps"
"20768","Hyas","106903","MJW","Hyas spp"
"30168","Doryteuthis gahi","574538","SQP","Doryteuthis gahi"
"30302","Nudibranchia","1762","","Nudibranchia"
"30778","Graneledone","157018","DWO","Graneledone spp"
"30912","Scaphander punctostriatus","139490","","Scaphander punctostriatus"
"40015","Tritia reticulata","876821","","Psilaster andromeda"
"40250","Cucumaria frondosa","124612","","Cucumaria frondosa"
"40257","Solasteridae","123143","","Solasteridae"
"40269","Palliolum tigerinum","140710","","Poraniomorpha (Poraniomorpha) hispida rosea"
"60495","Periphyllidae","135233","","Periphyllidae"
"60889","Polymastiidae","131673","","Polymastiidae"
"60909","Acanella arbuscula","125371","","Acanella arbuscula"
"60911","Duva florida","146943","","Duva florida"
"10013","Isurus oxyrinchus","105839","SMA","Isurus oxyrinchus"
"10237","Enchelyopus cimbrius","126450","ENC","Enchelyopus cimbrius"
"10658","Thunnus thynnus","127029","BFT","Thunnus thynnus"
"10745","Cyclopterus lumpus","127214","LUM","Cyclopterus lumpus"
"10996","Urophycis","125774","URZ","Urophycis spp"
"11027","Zoarcidae","125575","LVD","Zoarcidae"
"11259","Serrivomer beanii","126319","ASB","Serrivomer beanii"
"11460","Triglops murrayi","127205","TGM","Triglops murrayi"
"20098","Robustosergia robusta","1056517","","Sergia robusta"
"20202","Decapoda","1130","","Decapoda"
"21228","Colossendeis","134586","QDX","Colossendeis spp"
"21414","Parapasiphae sulcatifrons","107673","","Parapasiphae sulcatifrons"
"21598","Chaceon quinquedens","158407","CRR","Chaceon quinquedens"
"30082","Buccinum","137701","BEX","Buccinum spp"
"30320","Naticidae","145","","Naticidae"
"40247","Ophiomusa lymani","245559","","Ophiomusium lymani"
"40255","Ophiura sarsii","124934","","Ophiura sarsii"
"40263","Psolus","146121","","Psolus spp"
"40272","Echinidea","510534","","Echinoida"
"40298","Henricia pertusa","123973","","Henricia pertusa"
"50301","Polynoidae","939","","Polynoidae"
"60931","Anthoptilum","128489","AJG","Anthoptilum spp"
"10326","Sphyraena barracuda","345843","GBA","Sphyraena barracuda"
"11396","Amblyraja hyperborea","105863","RJG","Amblyraja hyperborea"
"10025","Prionace glauca","105801","BSH","Prionace glauca"
"80010","Delphinus delphis","137094","DCO","Delphinus delphis"
"11113","Paralepididae","125447","PZB","Paralepididae"
"60290","Anthozoa","1292","AJH","Anthozoa"
"20209",NA,NA,"PCR","Chionoecetes spp"
"10875","Nezumia bairdii","183289","","Nezumia spp"
"11457","Ceratias","125794","","Ceratias spp"
"11469","Isurus","105743","MAK","Isurus spp"
"00050",NA,NA,"SWX","Algae"
"10125","Stomias boa","127374","SBB","Stomias boa boa"
"11441","Lycodes esmarkii","127103","","Lycodes esmarkii"
"11496","Myoxocephalus scorpius","127203","MXV","Myoxocephalus scorpius"
"11526","Chiasmodon niger","126840","CVN","Chiasmodon niger"
"11766","Chimaera","105733","CWM","Chimaera spp"
"11442","Lycodes frigidus","127105","APC","Apristurus saldanha"
"12532","Lycodes frigidus","127105","","Lycodes frigidus"
"12844","Rajella bathyphila","105892","","Rajella bathyphila"
"60951",NA,NA,"HFM","Halipteris finmarchica"
"12559","Poromitra megalops","127274","","Poromitra megalops"
"12808","Paraliparis bathybius","127222","PBY","Paraliparis bathybius"
"40236",NA,NA,"","Pseudarchaster spp"
"10760","Pleuronectidae","125579","PLZ","Pleuronectidae"
"30192",NA,NA,"HQS","Histioteuthis reversa"
"30178","Illex argentinus","342064","SQA","Illex argentinus"
"10931","Etmopterus princeps","105911","ETR","Etmopterus princeps"
"10942","Hydrolagus affinis","105825","CYA","Hydrolagus affinis"
"20766",NA,NA,"","Geryon erytheiae"
"30037",NA,NA,"YYA","Bathypolypus arcticus"
"11286","Ceratias holboelli","126537","CBO","Ceratias holboelli"
"20181","Galatheidae","106733","LOQ","Galatheidae"
"30235",NA,NA,"","Polyplacophora"
"30269",NA,NA,"","Cirroteuthidae"
"60187",NA,NA,"","Molgulidae"
"11202","Notoscopelus elongatus","158915","","Notoscopelus elongatus"
"40118",NA,NA,"","Echinasteridae"
"40120",NA,NA,"","Gorgonocephalidae"
"11438","Caristius fasciatus","873087","CFG","Caristius groenlandicus"
"30452",NA,NA,"TWM","Teuthowenia megalops"
"30456",NA,NA,"","Chiroteuthis veranii"
"11516","Lampadena speculigera","126608","LDS","Lampadena speculigera"
"21067",NA,NA,"FBX","Acanthephyra spp"
"11646","Melanostigma atlanticum","127120","MTC","Melanostigma atlanticum"
"11833","Trachyrincus murrayi","126481","","Trachyrincus murrayi"
"12847","Peprilus triacanthus","159828","BUT","Peprilus triacanthus"
"30785",NA,NA,"","Cirroteuthis muelleri"
"30787",NA,NA,"","Neptunea despecta"
"40222",NA,NA,"","Benthopectinidae"
"12374","Eurypharynx pelecanoides","127165","SEX","Eurypharynx pelecanoides"
"61025",NA,NA,"","Heteropolypus spp"
"61026",NA,NA,"","Distichoptilum gracile"
